cross validation loss,training loss,iteration,train_time,params
,,,,
0.374353902055163,0.374176240816958,1,0.172549724578857,{'alpha': 0.9460798479212016}
,,,,
0.374239145324274,0.374062593174546,2,0.165998220443726,{'alpha': 0.8369460949813846}
,,,,
0.37421375390298,0.374037436132296,3,0.165038585662842,{'alpha': 0.81080989596122}
,,,,
0.374331473317381,0.374154034466319,4,0.165040254592896,{'alpha': 0.9257648504706252}
,,,,
0.374166288663948,0.373990395619058,5,0.165039300918579,{'alpha': 0.7595342615682128}
,,,,
0.374362179769176,0.374184435848491,6,0.165038824081421,{'alpha': 0.9534678576724758}
,,,,
0.374223335451195,0.374046929780772,7,0.165039539337158,{'alpha': 0.820770628751616}
,,,,
0.373906555565123,0.373732370536555,8,0.16413950920105,{'alpha': 0.3679736356411081}
,,,,
0.3738793256155,0.373705159530505,9,0.164039134979248,{'alpha': 0.29810000147827576}
,,,,
0.374414136797518,0.374235866984323,10,0.164303541183472,{'alpha': 0.9985905439184796}
,,,,
0.373875799120121,0.37370162849631,11,0.164042472839356,{'alpha': 0.28779241079102336}
,,,,
0.154065782882019,0.1517642392917,12,0.199056386947632,{'alpha': 0.02900404383426869}
,,,,
0.373877815132416,0.373703647353403,13,0.164036989212036,{'alpha': 0.29373001637545737}
,,,,
0.374095465350094,0.373920165923267,14,0.164040327072144,{'alpha': 0.675793799126198}
,,,,
0.374139160726042,0.373963501405365,15,0.164040088653564,{'alpha': 0.728602335727705}
,,,,
0.374011516887707,0.373836831802626,16,0.164039134979248,{'alpha': 0.560449694819107}
,,,,
0.374013471546413,0.373838773659279,17,0.163040399551392,{'alpha': 0.5634059092984941}
,,,,
0.346469826925237,0.344625322861703,18,0.171051263809204,{'alpha': 0.1959772976011499}
,,,,
0.269482106618538,0.267889406457993,19,0.175043344497681,{'alpha': 0.12994783889075334}
,,,,
0.374170389810838,0.373994460824845,20,0.163038015365601,{'alpha': 0.764101044714303}
,,,,
0.129423354206764,0.126930373894022,21,0.219056129455566,{'alpha': 0.00909947700823974}
,,,,
0.128034804564043,0.125582204418015,22,0.22405481338501,{'alpha': 0.00796254244933661}
,,,,
0.135873499032491,0.133610647178728,23,0.207050323486328,{'alpha': 0.014586124586777664}
,,,,
0.231281607987196,0.231084723780132,24,0.179054021835327,{'alpha': 0.09879030058218816}
,,,,
0.37393798574284,0.37376370168528,25,0.1650390625,{'alpha': 0.43473757893124565}
,,,,
0.340665032120469,0.338886209929625,26,0.173041343688965,{'alpha': 0.191042438763663}
,,,,
0.132388713717449,0.130045396415192,27,0.220345258712768,{'alpha': 0.011692210906824818}
,,,,
0.229825180358326,0.229548975403076,28,0.179040193557739,{'alpha': 0.09753050389214414}
,,,,
0.310379117991933,0.309011180798812,29,0.174038887023926,{'alpha': 0.16453957121203525}
,,,,
0.373131770720367,0.373690050877307,30,0.165037155151367,{'alpha': 0.25104508132958997}
,,,,
0.373918922243037,0.373744705820209,31,0.164036750793457,{'alpha': 0.3956054296636617}
,,,,
0.181625902913448,0.180060663700556,32,0.195043802261353,{'alpha': 0.052683413608426585}
,,,,
0.373945096156321,0.373770781969764,33,0.165037393569946,{'alpha': 0.44845096146688646}
,,,,
0.368585952702174,0.368713352410034,34,0.170038223266602,{'alpha': 0.23099887052799778}
,,,,
0.373992497884134,0.373817932556369,35,0.166027307510376,{'alpha': 0.5308198321863481}
,,,,
0.374077179568404,0.373902023675748,36,0.166037082672119,{'alpha': 0.652419549833532}
,,,,
0.195592147711622,0.193636427335549,37,0.18104100227356,{'alpha': 0.06658417027520902}
,,,,
0.285326603264169,0.284264288786041,38,0.174039363861084,{'alpha': 0.14263610954633413}
,,,,
0.37431173787771,0.374134492621694,39,0.164037704467773,{'alpha': 0.9075123409253567}
,,,,
0.373896975735349,0.373722806480131,40,0.163036584854126,{'alpha': 0.3450305797378966}
,,,,
0.373956809931851,0.373782441222765,41,0.165038108825684,{'alpha': 0.47016276942780216}
,,,,
0.125222682297031,0.122575209952474,42,0.235052347183228,{'alpha': 0.005413106592909894}
,,,,
0.371741631874991,0.371495713050538,43,0.166038751602173,{'alpha': 0.24155670245616007}
,,,,
0.241767397656331,0.241139674386303,44,0.177040100097656,{'alpha': 0.10764405567737786}
,,,,
0.373892656731045,0.373718491686807,45,0.163036346435547,{'alpha': 0.3341648624176123}
,,,,
0.374047309628101,0.373872377492941,46,0.163036108016968,{'alpha': 0.6123090462381358}
,,,,
0.188601291572726,0.18676975223687,47,0.182038307189941,{'alpha': 0.059831753654606766}
,,,,
0.374260603758523,0.374083850084108,48,0.164037227630615,{'alpha': 0.858411617815082}
,,,,
0.373914102484322,0.373739899623301,49,0.164036989212036,{'alpha': 0.3850749875829144}
,,,,
0.340127249389943,0.338354515228164,50,0.173040151596069,{'alpha': 0.19058304488087907}
,,,,
0.373872724036827,0.373698547696466,51,0.164037942886353,{'alpha': 0.27848773116725256}
,,,,
0.37396991087,0.373795474843209,52,0.164036989212036,{'alpha': 0.4933047503768407}
,,,,
0.28793062112508,0.287133525565877,53,0.173038721084595,{'alpha': 0.14481064858464476}
,,,,
0.373886102855556,0.373711940193926,54,0.165037393569946,{'alpha': 0.31695545649485796}
,,,,
0.374134812129935,0.373959189589558,55,0.164037227630615,{'alpha': 0.7235203942076214}
,,,,
0.163395505569142,0.162143053190377,56,0.206047058105469,{'alpha': 0.036124300426047716}
,,,,
0.373928833649326,0.373754584641533,57,0.163037061691284,{'alpha': 0.4164150898467415}
,,,,
0.364419082890801,0.365670182584485,58,0.166037321090698,{'alpha': 0.21896712930930473}
,,,,
0.374367312822861,0.374189517471603,59,0.164038419723511,{'alpha': 0.9580205209505603}
,,,,
0.216423405177839,0.215324357793634,60,0.181044340133667,{'alpha': 0.0858014945775933}
,,,,
0.37386866106627,0.373694474349197,61,0.166037321090698,{'alpha': 0.265685689774597}
,,,,
0.131138212653984,0.128683329753849,62,0.21504807472229,{'alpha': 0.010579560356029557}
,,,,
0.315172851399842,0.313714263168208,63,0.172038793563843,{'alpha': 0.16881708328637848}
,,,,
0.258037627398155,0.25668270554609,64,0.177040100097656,{'alpha': 0.12082440575528097}
,,,,
0.374056137121733,0.373881140358276,65,0.165037393569946,{'alpha': 0.6244329248619802}
,,,,
0.119585952073648,0.114278658030775,66,0.267060279846191,{'alpha': 0.0021990374121459337}
,,,,
0.131413547098943,0.128984759504142,67,0.2180495262146,{'alpha': 0.010830805321209086}
,,,,
0.209489529510689,0.20783631174952,68,0.181041479110718,{'alpha': 0.07944611556018687}
,,,,
0.175661265525813,0.174024827483583,69,0.199044942855835,{'alpha': 0.047044109089442475}
,,,,
0.359473481905697,0.358377765419375,70,0.170038938522339,{'alpha': 0.20763961622020918}
,,,,
0.319193102455726,0.317658922723408,71,0.173038959503174,{'alpha': 0.17237087339220208}
,,,,
0.124912627055952,0.122079985440506,72,0.241054773330688,{'alpha': 0.005160350709785764}
,,,,
0.279922020124393,0.278301565939676,73,0.184041261672974,{'alpha': 0.1380802553339152}
,,,,
0.237083128672931,0.236694104803843,74,0.179039716720581,{'alpha': 0.10373296262525628}
,,,,
0.152112517726852,0.149843049420159,75,0.203045845031738,{'alpha': 0.027582084092727416}
,,,,
0.373904150080533,0.373729969781483,76,0.165037155151367,{'alpha': 0.362351034491661}
,,,,
0.374001355939836,0.373826735957857,77,0.168037891387939,{'alpha': 0.5448219638544113}
,,,,
0.373880065360121,0.373705899973789,78,0.168038129806519,{'alpha': 0.3002165895754214}
,,,,
0.120758470046423,0.116619550275096,79,0.254057168960571,{'alpha': 0.0029187374379817397}
,,,,
0.201738411332011,0.19971560797853,80,0.202045679092407,{'alpha': 0.07221388910596434}
,,,,
0.372916050008953,0.373351884619988,81,0.174037933349609,{'alpha': 0.24839255557857082}
,,,,
0.292052049683818,0.29142616227604,82,0.179040193557739,{'alpha': 0.14838810997753693}
,,,,
0.2543303048724,0.253060072672551,83,0.178040266036987,{'alpha': 0.11781294608900228}
,,,,
0.171813742787155,0.170143077320632,84,0.203045845031738,{'alpha': 0.043583609757685556}
,,,,
0.112293484122317,0.100907667404185,85,0.537124156951904,{'alpha': 0.0004620609545131168}
,,,,
0.374277999144575,0.374101079956133,86,0.166042566299439,{'alpha': 0.8754253202955973}
,,,,
0.374202862571867,0.374026643877761,87,0.165041446685791,{'alpha': 0.7993362415785884}
,,,,
0.336839186292616,0.335103657516643,88,0.173043727874756,{'alpha': 0.1877657428618665}
,,,,
0.220833853236462,0.220101401800555,89,0.179041862487793,{'alpha': 0.08972904813855925}
,,,,
0.374400008944544,0.374221883261432,90,0.163038730621338,{'alpha': 0.9865257412277771}
,,,,
0.373884011827764,0.373709848797332,91,0.166454553604126,{'alpha': 0.31126157371062074}
,,,,
0.373868086287711,0.373693897818954,92,0.168148279190064,{'alpha': 0.2638235556435885}
,,,,
0.366416165855062,0.367127192946814,93,0.16803765296936,{'alpha': 0.22479560207081795}
,,,,
0.374128581580324,0.373953011387288,94,0.16401743888855,{'alpha': 0.7161759673406196}
,,,,
0.373927938728735,0.373753692904099,95,0.164016962051392,{'alpha': 0.4145795201722999}
,,,,
0.154728073107003,0.152408462959972,96,0.199028968811035,{'alpha': 0.0294807898512275}
,,,,
0.374021479995126,0.373846728769427,97,0.164032697677612,{'alpha': 0.57535809965848}
,,,,
0.373952661375535,0.373778312630007,98,0.164036512374878,{'alpha': 0.4625909960735746}
,,,,
0.373981987135959,0.373807483887618,99,0.164003372192383,{'alpha': 0.5137062146804048}
,,,,
0.304395314938778,0.303140909294664,100,0.176028490066528,{'alpha': 0.1591340865025265}
,,,,
0.373892634417671,0.373718469390019,101,0.165019035339356,{'alpha': 0.3341077961760004}
,,,,
0.199470597651109,0.197448237142393,102,0.182129383087158,{'alpha': 0.0701472216437527}
,,,,
0.355401297209531,0.353803372340697,103,0.173032283782959,{'alpha': 0.2037843891188776}
,,,,
0.373871300447959,0.373697120856572,104,0.166015386581421,{'alpha': 0.2740713845746052}
,,,,
0.265658932417205,0.264149579526226,105,0.190024614334106,{'alpha': 0.12693334874312254}
,,,,
0.327361002501144,0.325732993339875,106,0.180976390838623,{'alpha': 0.17955762679883253}
,,,,
0.373905523172537,0.373731340233405,107,0.170073747634888,{'alpha': 0.36557124000765173}
,,,,
0.37410414958394,0.373928780434995,108,0.163030862808228,{'alpha': 0.6866144495115555}
,,,,
0.189124000666842,0.187282913639619,109,0.184016942977905,{'alpha': 0.06035357752216803}
,,,,
,,,,
,,,,
0.112293484122317,,,,
